Name of Company or Organization,Date of Notification,Date of the Breach,IN Affected,Total Affected
BackcountryEdgeInc‐DataBreach,12/11/2018,11/24/2018,7,643
BadgerDaylightingLtd.,3/5/2018,1/31/2018,7,92
BallStateUniversity‐DataBreach,,,,
BankersInsuranceGroupInc‐DataBreach,8/15/2018,,3,1075
BankersLife‐DataBreach,10/25/2018,5/30/2018,"32,308","799,563"
BankofHope‐DataBreach,7/30/2018,6/28/2018,7,"11,362"
BannerEngineeringInc‐DataBreach,6/27/2018,3/18/2018,2,1229
BaptistHealthMedicalGroup‐DataBreach,8/15/2018,8/3/2018,1,1
BaptistHealthMedicalGroup‐DataBreach,4/4/2018,3/19/2018,1,1
BarnesandThornburgLLP‐DataBreach,6/29/2018,4/20/2018,2,3
BauerMediaGroupUSA‐DataBreach,5/4/2018,3/29/2018,1,410
BCSFinancialCorporation‐DataBreach,12/14/2018,10/29/2018,2,39
BeachbodyLLC,3/2/2018,2/2/2018,17,854
BeaconHealthSystem‐DataBreach,6/1/2018,4/2/2018,27,141
BearingDistributorsInc‐DataBreach,4/6/2018,3/30/2018,19,857
BedBath&BeyondInc.,2/26/2018,11/8/2017,1,153
Respondent,Notification Sent Breach Occurred IN Affected Total Affected,,,
BedBath&BeyondInc.,2/12/2018,,2,139
BeechGroveMeadows‐DataBreach,5/11/2018,5/11/2018,1,1
BeiGeneLTD‐DataBreach,9/21/2018,5/22/2018,2,145
BellPartnersInc‐DataBreach,5/23/2018,11/21/2017,1,523
BellwetherEnterpriseRealEstateCapitalLLC‐DataBreach,5/25/2018,1/30/2018,1,355
BenchmadeKnifeCo‐DataBreach,12/21/2018,9/1/2018,42,2702
BenefitOutsourcingSolutions‐DataBreach,6/7/2018,8/20/2015,142,"1,144"
BestBuyCoInc‐DataBreach,4/13/2018,9/26/2017,,
BeveragesandMoreIncdbaBevMo‐DataBreach,12/17/2018,8/2/2018,6,14519
BigfootGunBelts‐DataBreach,3/23/2018,10/31/2017,151,"4,141"
BiodesixInc‐DataBreach,8/24/2018,,5,92
Bio‐RadLaboratories‐DataBreach,4/5/2018,6/1/2017,2,362
BlattnerEnergyInc‐DataBreach,4/30/2018,2/2/2018,6,248
BLD‐DataBreach,12/19/2018,11/14/2018,15,187
BlueBeaconInternational‐DataBreach,4/6/2018,1/29/2018,"1,872","33,644"
BlueSpringsFamilyCarePC‐DataBreach,7/16/2018,5/11/2018,11,"44,977"
BluewaterThermalSolutionsLLC,1/19/2018,1/4/2018,5,225
BMWBankofNorthAmerica‐DataBreach,8/17/2018,7/19/2018,2,54
BombasLLC‐DataBreach,5/21/2018,9/1/2013,771,"41,000"
BoysTownNationalResearchHospital‐DataBreach,7/20/2018,5/23/2018,1,"105,626"
BrinkerInternationalInc‐DataBreach,5/11/2018,3/1/2018,,
BritishAirwaysPLC‐DataBreach,9/7/2018,8/21/2018,176,"429,000"
BronsonNutritionalsLLC‐DataBreach,3/19/2018,5/15/2017,350,"25,450"
BrowardCollege,1/10/2018,7/18/2017,63,"44,000"
BrownsburgMeadows‐DataBreach,5/2/2018,4/10/2018,2,2
BrunetteandAssociatesLLC‐DataBreach,11/7/2018,2/27/2018,2,4
BTCEIncdbaHomeBrewit.com‐DataBreach,4/10/2018,9/26/2017,207,"1,024"
BuehlersFreshFoodsLLC‐DataBreach,10/12/2018,2/1/2016,5,2040
ByramHealthcare‐DataBreach,10/22/2018,6/1/2016,2,52
CableHillPartnersLLC‐DataBreach,5/15/2018,1/10/2018,2,989
CactusWellheadLLC‐DataBreach,5/17/2018,5/9/2018,1,"1,086"
CaliforniaCollegeoftheArts,2/26/2018,1/19/2018,1,2709
"CaliforniaStateUniversity,Fresno",3/6/2018,12/1/2017,27,"10,777"
CaliforniaStateUniversityEastBay‐DataBreach,10/5/2018,3/27/2018,4,9941
CambridgeDentalConsultingGroup‐DataBreach,5/9/2018,3/13/2018,1,"3,840"
CambridgeHealthAlliance‐DataBreach,3/28/2018,,1,"2,527"
CameronMemorialCommunityHospital‐DataBreach,12/1/2017,8/15/2017,8,8
CameronMemorialCommunityHospital‐DataBreach,11/15/2017,11/8/2017,2,2
CameronWoods‐DataBreach,,,,
CampbellsvilleUniversityInc‐DataBreach,10/19/2018,7/19/2018,7,
CandJFinancialLLC‐DataBreach,9/11/2018,5/4/2018,1,372
Respondent,Notification Sent Breach Occurred IN Affected Total Affected,,,
CapitalDigestiveCareLLC‐DataBreach,4/23/2018,2/23/2018,7,"13,572"
CapitalFarmCredit‐DataBreach,4/25/2018,,2,"5,167"
CapitalIntegrationSystemsLLC‐DataBreach,6/22/2018,2/1/2018,6,"2,321"
CareerTechnologyCentersofLickingCounty‐DataBreach,7/6/2018,2/12/2018,31,"9,578"
CariteInc.,1/23/2018,1/17/2018,30,346
"CaryE.Williams,CPA",3/2/2018,1/5/2018,8,"7,690"
CastlightHealth‐DataBreach,12/27/2018,,5,120
CathayPacificAirwaysLimited‐DataBreach,10/25/2018,,1,"9,400,000"
CBIZMHMLLC‐DataBreach,7/19/2018,5/21/2018,1,1246
CBTX‐DataBreach,12/21/2018,5/30/2018,4,7703
CCRMSanFrancisco‐DataBreach,8/10/2018,6/8/2018,1,366
CedarvilleUniversity,2/15/2018,1/31/2018,6,241
CenderaFundingInc‐DataBreach,10/25/2018,9/29/2018,3,5328
CenlarFSB‐DataBreach,3/20/2018,5/19/2016,1,100
CenterstoneofIndiana‐DataBreach,,,,
CentralChristianCollegeofKansas‐DataBreach,6/15/2018,7/11/2017,9,631
CentrisFederalCreditUnion,3/1/2018,11/1/2015,10,"12,049"
CeresPartnersLLC‐DataBreach,10/25/2018,5/1/2018,2,8
CeteraAdvisorsLLC‐DataBreach,1/8/2018,11/8/2017,19,1260
CeteraAdvisorsLLC‐DataBreach,4/25/2018,11/8/2017,8,"2,299"
ChallengerSportsInc‐DataBreach,10/22/2018,8/26/2018,138,"11,123"
ChamberlainGroupInc‐DataBreach,11/20/2018,10/16/2018,13,580
ChapmanandChapmanInc‐DataBreach,8/16/2018,3/7/2018,6,2545
"CharlesKomar&Sons,Inc.",2/5/2018,11/23/2017,1,99
CharmsOfficeAssistant‐DataBreach,8/24/2018,,238,"17,017"
ChattanoogaClothingCompany‐DataBreach,5/31/2018,10/26/2017,59,835
CheddarsScratchKitchen‐DataBreach,8/22/2018,11/3/2017,"13,604","567,000"
ChicagoPropertyManagementandInvestments‐DataBreach,10/16/2018,2/1/2017,2,79
ChildrensMercyHospital‐DataBreach,1/31/2018,12/2/2017,17,"38,873"
ChilisGrillandBar‐DataBreach,,,,
ChipotleMexicanGrillInc‐DataBreach,8/22/2018,7/21/2018,1,33
ChopraEnterprisesLLC,3/6/2018,,3,614
ChosenHealthcare‐DataBreach,7/27/2018,5/8/2018,310,310
CHROMEFederalCreditUnion,3/6/2018,6/14/2017,2,3122
CitiBankNA,,,,
CitibankNA‐DataBreach,4/18/2018,4/1/2015,1,410
CityofGoodyearArizona‐DataBreach,6/4/2018,6/13/2017,11,"11,247"
CityofHopkinsville‐DataBreach,6/8/2018,5/8/2018,2,120
CityofMidwestCityOklahoma‐DataBreach,7/23/2018,12/11/2017,1,"4,559"
ClinicalPathologyLaboratoriesSoutheastInc‐DataBreach,3/21/2018,9/20/2017,19,"42,720"
ClubSoda‐DataBreach,,,11,
Respondent,Notification Sent Breach Occurred IN Affected Total Affected,,,
CNGFinancialCorporationInc‐DataBreach,8/15/2018,7/11/2018,9,"104,649"
CNOFinancial‐DataBreach,,,,
CNUofIndianaLLCdbaCashNetUSA‐DataBreach,4/27/2018,2/20/2018,28,"3,265"
CNUOnlineHoldingsLLC,3/8/2018,2/19/2018,39,"3,011"
CollierHeggernessandBronkCPAs‐DataBreach,11/7/2018,,1,2354
ColoradoBankersLifeInsuranceCompany‐DataBreach,8/3/2018,3/28/2018,"1,155","99,797"
ColumbiaCollegeChicago,2/28/2018,2/15/2018,2,93
ColumbiaHealthcareCenter‐DataBreach,5/21/2018,5/21/2018,1,1
ColumbusRegionalHealth‐DataBreach,4/25/2018,4/23/2018,1,1
CommunityFirstBank‐DataBreach,3/21/2018,1/19/2018,3,"2,837"
CommunityHealthNetwork,2/15/2018,5/2/2017,1,1
CommunityHealthNetwork,1/30/2018,1/13/2018,25,25
CommunityHealthNetwork,,,,
CommunityHealthNetwork,2/2/2018,7/10/2017,11,11
CommunityHealthNetwork*,1/31/2018,1/2/2018,1,1
CommunityHospitalofBremen,1/17/2018,1/17/2018,115,115
CommunityHospitalSouth‐DataBreach,11/1/2018,7/26/2018,1,1
CommunityPhysiciansofIndianaInc‐DataBreach,3/22/2018,2/14/2018,1,1
CommunityPhysiciansofIndianaInc‐DataBreach,1/11/2018,11/29/2017,1,1
CommunityRehabilitationHospital‐DataBreach,3/29/2018,3/19/2018,2,2
CommunityRehabilitationHospitalSouth‐DataBreach,8/2/2018,7/30/2018,9,9
ComplyRightInc‐DataBreach,7/13/2018,4/20/2018,"12,056","662,475"
ConcannonMillerandCoPC‐DataBreach,7/13/2018,2/9/2018,3,292
"CorporateEmploymentResources,Inc.",2/9/2018,1/26/2018,107,"4,086"
CorporationServiceCompany‐DataBreach,5/17/2018,11/25/2017,698,"94,148"
CortlandPartners‐DataBreach,8/15/2018,4/26/2018,1,588
CotyInc‐DataBreach,7/6/2018,1/12/2018,41,"4,753"
CountryMutualInsuranceCompany,2/19/2018,1/15/2018,4,1390
CPTGroupInc‐Data Breach,4/27/2018,11/22/2017,36,"76,299"
CRISF‐DataBreach,10/15/2018,6/25/2018,1,118
CrossRoadHealthMinistriesInc‐DataBreach,3/30/2018,10/10/2017,3,245
CruzstarLLC,2/19/2018,11/5/2017,401,"28,740"
CurtinMaritimeCorp.,3/5/2018,1/22/2018,1,191
CVSHealth‐DataBreach,7/27/2018,6/11/2018,1,12
"CyrusOne,Inc.",1/8/2018,10/18/2017,10,402
DanaIncorporated‐DataBreach,3/23/2018,3/9/2018,3,24
DaneStreetLLC‐DataBreach,,,100,
DardenRestaurants‐DataBreach,3/14/2018,10/23/2017,1,48
DataIntensity‐DataBreach,10/1/2018,7/9/2018,5,266
DCInternational‐DataBreach,,7/21/2018,,
Deaconess DeaconessClinic‐Data Breach,12/19/2018,11/16/2018,1,1
Respondent,Notification Sent Breach Occurred IN Affected Total Affected,,,
DeaconessHospital,,,,
DeaconessHospital,2/15/2018,1/31/2018,1,1
DeaconessHospital,1/12/2018,12/6/2017,4,4
DeaconessHospital,12/27/2018,11/13/2018,1,1
DecaturCountyMemorialHospital‐DataBreach,,,,
DecaturCountyMemorialHospital‐DataBreach,5/9/2018,1/31/2018,2,2
DecisionHRHoldingsInc‐DataBreach,10/8/2018,,2,4938
DeephavenMortgageLLC‐DataBreach,5/8/2018,1/10/2018,48,"5,593"
DelawareLifeInsuranceCo‐DataBreach,8/31/2018,8/13/2018,1,
DelicatoVineyards‐DataBreach,8/15/2018,4/26/2018,2,1087
"DeliManagement,Inc.d/b/aJason'sDeli,Inc.",1/11/2018,6/8/2017,,"2,000,000,000"
DeloitteTaxLLP‐DataBreach,4/10/2018,4/6/2018,1,1
DeltaAirLinesInc‐DataBreach,4/11/2018,9/26/2017,"10,088","825,000"
DeltaDentalofMissouri‐DataBreach,4/26/2018,3/21/2018,4,297
DeltaSteelInc‐DataBreach,7/27/2018,2/2/2018,8,443
DentalCenterofNorthwestOhio‐DataBreach,12/28/2018,8/16/2018,477,85874
DepartmentofChildServices‐DataBreach,8/13/2018,8/7/2018,3,3
DiCiccoGulmanandCompanyLLP‐DataBreach,6/21/2018,5/10/2018,87,"1,354"
DollarGeneralCorporation,2/15/2018,1/18/2018,1,43
DollarShaveClubInc‐DataBreach,6/20/2018,5/26/2018,18,1035
DoralCorporation,2/2/2018,1/23/2018,9,335
DoyleandAssociatesPC‐DataBreach,8/1/2018,2/21/2018,2,489
DrAmyWoodruff‐DataBreach,10/5/2018,,2,
"DraperandKramer,Inc.",2/23/2018,,11,37
Driscoll'sInc.,2/9/2018,7/17/2017,1,1530
DrRobertCarpenter‐DataBreach,10/5/2018,,1,
DunkinBrandsInc‐DataBreach,11/28/2018,,2118,"175,221"
EbbsRobertsHeadDawInc‐DataBreach,9/18/2018,6/26/2017,6,4200
EBSCOSignGroupInc‐DataBreach,7/16/2018,9/12/2017,25,871
ElkhartCountyProsecutorAttorneyOfficeIVDChildSupport‐DataBreach,9/5/2018,7/27/2018,0,2
ElmcroftSeniorLivingInc‐DataBreach,6/11/2018,5/10/2018,"2,894","168,490"
ElPasoLosAngelesLimousineExpressInc‐DataBreach,11/2/2018,12/9/2016,35,"68,647"
ElwoodStaffingServicesInc‐DataBreach,12/7/2018,12/6/2018,1,1
EmployeeBenefitsCorporation‐DataBreach,,,,
EmployeeBenefitsCorporation‐DataBreach,3/20/2018,3/7/2018,16,16
EmployeeBenefitsCorporationForefront Dermatology‐DataBreach,5/22/2018,3/7/2018,138,"1,298"
EmployeeBenefitsCorporationForeFrontManagement‐DataBreach,5/22/2018,3/7/2018,67,455
EmployeeBenefitsCorporationInterVarsityChristianFellowship‐DataBreach,5/22/2018,3/7/2018,16,855
EmployIndy‐DataBreach,1/19/2018,1/10/2018,1,1
EmployIndy‐DataBreach,,5/31/2018,1,1
EnchromaInc‐DataBreach,6/26/2018,5/15/2018,1,149
Respondent,Notification Sent Breach Occurred IN Affected Total Affected,,,
EngleMartin&Associates,2/14/2018,,11,2508
EntrustEnergy‐DataBreach,11/12/2018,5/26/2018,8,4782
EnvisionHealthcareCorporation‐DataBreach,10/10/2018,7/17/2018,244,"21,757"
EquiasAllianceLLC‐DataBreach,5/8/2018,1/10/2018,565,"2,264"
EquityConceptsLLC‐DataBreach,11/29/2018,4/20/2018,6,3794
ErieInsuranceGroup‐DataBreach,6/13/2018,5/9/2018,2,25
ERPIronOreLLC‐DataBreach,6/7/2018,12/1/2015,700,700
ESAManagementLLC‐DataBreach,6/15/2018,,8,"1,324"
ESINorthAmericaInc‐DataBreach,9/20/2018,5/9/2018,1,698
ExamOne‐DataBreach,8/21/2018,7/26/2018,1,1
ExamOne‐DataBreach,3/15/2018,2/12/2018,1,1
ExamOne‐DataBreach,10/24/2018,9/11/2018,2,2
ExamOne‐DataBreach,7/27/2018,7/7/2018,1,1
ExamOne‐DataBreach,1/12/2018,12/27/2017,1,1
ExitOneHotelLLC‐DataBreach,,,,
Experian‐DataBreach,,,,
Facebook‐DataBreach,,,,
FacebookInc,,,,
FairbanksNorthStarBorough‐DataBreach,7/19/2018,4/14/2018,9,6346
FairchildMaddox&Leonidas,3/2/2018,,3,"2,365"
Family&SocialServicesAdministration,2/21/2018,1/31/2018,1,1
Family&SocialServicesAdministration,2/12/2018,2/5/2018,1,1
FareportalInc‐DataBreach,5/10/2018,10/1/2017,1,"880,000"
FareportalInc‐DataBreach,5/10/2018,10/1/2017,1,"880,000"
FarmCreditServicesofAmerica‐DataBreach,5/15/2018,4/8/2018,1,114
FarmerBrosCo‐DataBreach,12/11/2018,5/1/2018,22,2412
FarmgirlFlowersInc‐DataBreach,5/11/2018,4/26/2018,24,"1,870"
FastHealthCorporation,2/27/2018,8/14/2017,"16,034","657,529"
FCCIServicesInc‐DataBreach,9/17/2018,9/11/2018,1,1
FeconInc,2/28/2018,2/20/2018,1,218
FederalExpressCorporation‐DataBreach,9/5/2018,8/30/2018,1,1
FeldEntertainmentInc‐DataBreach,8/6/2018,4/5/2018,1,867
FidelityNationalFinancialonbehalfofChicagoTitleCompanyLLC‐DataBreach,7/16/2018,7/2/2018,2,2
FirstGroupofAmericaInc‐DataBreach,9/27/2018,8/1/2015,3,73
FirstMerchantsBank‐DataBreach,5/18/2018,3/31/2018,223,223
FirstMerchantsBank‐DataBreach,5/21/2018,4/26/2018,5,5
FirstMerchantsBank‐DataBreach,3/28/2018,3/14/2018,25,315
FirstNationalBankofOmaha‐DataBreach,8/31/2018,7/13/2018,1,31
FiveBelowInc‐DataBreach,10/5/2018,8/14/2018,85,3234
FiveGuysHoldingsInc‐DataBreach,11/2/2018,5/23/2018,13,"19,191"
FlemingCountySchools,2/20/2018,1/14/2018,1,160
Respondent,Notification Sent Breach Occurred IN Affected Total Affected,,,
FlexibleBenefitServiceCorporation,2/14/2018,11/21/2017,1098,19438
FloridaFarmBureauCasualtyInsuranceCompany‐DataBreach,10/5/2018,6/27/2018,2,4000
FontainebleauMiamiBeach,2/8/2018,11/20/2017,2,158
FordMotorCompany‐DataBreach,5/31/2018,3/13/2018,1,1
ForethoughtLifeInsuranceCompany‐DataBreach,10/25/2018,10/10/2018,1,16
Forever21Inc‐DataBreach,11/14/2017,4/3/2017,,
FoundationBuildingMaterialsLLC‐DataBreach,5/23/2018,2/1/2018,31,1246
FrancescasServicesCorporation‐DataBreach,11/19/2018,12/28/2017,1682,"84,275"
FranciscanACOInc‐DataBreach,8/13/2018,7/6/2018,1,1
FranciscanAllianceInc,12/22/2018,10/22/2018,13,18
FranciscanHealthIndianapolis,1/17/2018,1/6/2018,2,2
FranciscanHealthIndianapolis‐DataBreach,7/2/2018,2/26/2013,4,4
FranciscanHealthIndianapolis‐DataBreach,9/4/2018,4/26/2018,15,19
FranciscanHealthIndianapolis‐DataBreach,5/31/2018,4/18/2018,1,1
FranciscanPhysicianNetowrkdbaLowellHealthCenter‐DataBreach,11/2/2018,9/19/2018,1,1
FranciscanPhysicianNetwork‐DataBreach,11/9/2018,6/20/2018,1,1
FranciscanPhysicianNetwork‐DataBreach,5/17/2018,2/15/2018,1,1
FranciscanPhysicianNetwork‐DataBreach,6/12/2018,,16,17
FranciscanPhysicianNetwork‐DataBreach,6/25/2018,2/2/2018,1,1
FranciscanPhysicianNetworkdbaCoolspringHealthCenter‐DataBreach,11/9/2018,9/24/2018,1,1
FranciscanPhysicianNetworkDyerFamilyHealthCenter‐DataBreach,,,,
FranciscanUniversityofSteubenville‐DataBreach,11/30/2018,10/1/2018,49,2400
FranciscanVNSHomeCare‐DataBreach,5/11/2018,4/13/2018,30,30
FredUsingerInc‐DataBreach,3/29/2018,9/24/2017,644,"35,147"
FreeSpeechSystemsLLC‐DataBreach,12/14/2018,11/12/2018,21,1290
FriedrichAirConditioningCo‐DataBreach,4/2/2018,2/7/2018,1,117
FrostBank‐DataBreach,,,,
FSSAonbehalfofConduent‐DataBreach,,,,
FSSAonbehalfofDXC‐DataBreach,,,,
FSSAonbehalfofPhoenixDataCorporation‐DataBreach,10/1/2018,9/19/2018,2,2
FundingCircleUSAInc‐DataBreach,3/30/2018,6/1/2017,149,"10,796"
GallagherBassettServicesInc‐DataBreach,8/3/2018,9/1/2013,4,1933
GamePlanAdvisorsIncWoottonFinancialGroup‐DataBreach,6/26/2018,4/1/2018,2,1286
GarretsonResolutionGroupInc‐DataBreach,8/30/2018,4/4/2018,29,1327
GeneralElectricCreditUnion‐DataBreach,11/26/2018,9/1/2018,5,280
GeorgeCorleyWallaceStateCommunityCollege,,,,
GHGGreyhealthGroupLLC,2/15/2018,1/25/2018,1,683
GibsonGeneralHospital‐DataBreach,,,,
GivaudanFlavorsCorporationandGivaudanFragrancesCorporation‐DataBreach,10/9/2018,9/7/2018,21,4200
GlobalLTInc‐DataBreach,,9/5/2018,,
GlobalUniversity‐DataBreach,5/8/2018,12/31/2017,"3,018","139,810"
Respondent,Notification Sent Breach Occurred IN Affected Total Affected,,,
GoldenLiving‐DataBreach,,,,
GoldleafPartnersServicesInc.,,,,
GoldSilver‐DataBreach,12/19/2018,9/28/2018,9,3465
GoodwillofCentralandSouthernIndianaInc‐DataBreach,9/4/2018,8/29/2018,1,1
GoodyTickets‐DataBreach,10/9/2018,9/15/2018,3,259
GoogleLLC‐DataBreach,,,,
GreatBancTrustCompany‐DataBreach,6/15/2018,10/23/2017,166,"10,023"
GS1USInc‐DataBreach,10/25/2018,7/7/2017,845,"78,907"
"GuaranteedRate,Inc.",1/12/2018,6/9/2017,"2,610","187,788"
GuaranteedRateInc‐DataBreach,6/12/2018,11/1/2017,60,"5,956"
GuardianConsumerServiceIncdbaPavasoInc‐DataBreach,7/20/2018,6/22/2018,1,99
GuardianLIfeInsuranceCompanyofAmerica‐DataBreach,3/29/2018,2/21/2018,1,1
GYAgemniLLC‐DataBreach,3/16/2018,11/1/2017,6,320
HairbowCenterLLC‐DataBreach,10/25/2018,,3,125
HallmarkHomeMortgage,1/12/2018,,6,2816
HallStructuredFinance‐DataBreach,11/2/2018,9/12/2018,2,122
HarleyDavidsonMotorCompanyInc‐DataBreach,12/6/2018,8/27/2018,11,959
HasbroInc‐DataBreach,8/7/2018,9/15/2017,1,"2,039"
Hatscom,11/14/2018,8/18/2018,21,1268
HaynesFurnitureCompanyIncorporated‐DataBreach,5/10/2018,5/2/2018,1,109
HeacockInsuranceGroupLLCandHeacockPayrollLLC‐DataBreach,7/12/2018,2/23/2018,53,"4,348"
HealthandHospitalCorporationofMarionCounty‐DataBreach,7/30/2018,7/30/2018,1,1
HealthandHospitalCorporationofMarionCounty‐DataBreach,8/6/2018,7/20/2018,1,1
HealthandHospitalCorporationofMarionCounty‐DataBreach,8/2/2018,7/19/2018,7,7
HealthandHospitalCorporationofMarionCounty‐DataBreach,4/12/2018,4/3/2018,1,1
HealthandHospitalCorporationofMarionCounty‐DataBreach,7/13/2018,7/2/2018,1,1
HealthandHospitalCorporationofMarionCounty‐DataBreach,9/4/2018,9/4/2018,1,1
HealthandHospitalCorporationofMarionCounty‐DataBreach,6/26/2018,6/1/2018,13,13
HealthandHospitalCorporationofMarionCounty‐DataBreach,9/5/2018,8/27/2018,1,1
HealthandHospitalCorporationofMarionCounty‐DataBreach,8/3/2018,6/8/2018,1,1
HealthandHospitalCorporationofMarionCounty‐DataBreach,8/7/2018,6/5/2018,32,32
HealthandHospitalCorporationofMarionCountydbaFranklinMeadows‐DataBreach,11/27/2018,11/13/2018,1,1
HealthandHospitalCorporationofMarionCountydbaRosewalkVillage‐DataBreach,12/6/2018,11/16/2018,1,1
HealthandWellnessofCarmel‐DataBreach,,,,
HealthAuthorityfortheCityofHuntsville‐DataBreach,11/8/2018,5/8/2018,18,"18,156"
HealthCareServiceCorporation‐DataBreach,6/4/2018,4/19/2017,6,161
HealthEquityInc‐DataBreach,6/12/2018,4/11/2018,123,"23,020"
HealthEquityInc‐DataBreach,11/27/2018,9/4/2018,"4,468","189,957"
HealthFitnessLLC‐DataBreach,9/14/2018,8/1/2015,3,73
HealthManagementConceptsInc‐DataBreach,8/22/2018,7/19/2018,1,2583
HearthmarkLLC‐DataBreach,9/21/2018,,1,1
Respondent,Notification Sent Breach Occurred IN Affected Total Affected,,,
"HeartlandBenefitPlanAdministrators,LLC",2/26/2018,11/29/2017,1,55
HeartlandHotelCorporation‐DataBreach,10/25/2018,9/25/2018,1,2011
HellyHansenAS‐DataBreach,7/20/2018,4/20/2018,10,"3,817"
HemenwayandBarnes‐DataBreach,11/2/2018,9/1/2018,1,2116
HoosierHillsCreditUnion‐DataBreach,8/22/2018,8/11/2018,150,150
HopebridgeLLC‐DataBreach,8/31/2018,3/1/2018,18,23
HRUInc‐DataBreach,,3/5/2018,,35
HRUInc‐DataBreach,6/12/2018,3/5/2018,5,35
HSBCBankUSANA‐DataBreach,11/26/2018,10/29/2018,3,903
HSBCBankUSANA‐DataBreach,11/9/2018,10/4/2018,43,6733
HSBCBankUSANA‐DataBreach,7/23/2018,6/11/2018,2,935
HudsonRiverHealthCareInc,3/7/2018,2/12/2018,2,1502
HudsonsBayCompany‐DataBreach,4/27/2018,7/1/2017,,
HumanaInc‐DataBreach,6/21/2018,6/3/2018,6,249
HumanaInc‐DataBreach,9/26/2018,9/18/2018,1,6
HumanaInc‐DataBreach,6/4/2018,1/17/2018,72,"6,836"
HumanaInc‐DataBreach,9/26/2018,9/18/2018,1,6
HumanaInc‐DataBreach,8/28/2018,8/17/2018,9,287
HumanaInc‐DataBreach,9/21/2018,8/30/2018,4,24
IBJMediaCorporation,2/16/2018,1/17/2018,164,182
IDEM‐DataBreach,5/21/2018,4/30/2018,1,1
IDEM‐DataBreach,5/21/2018,2/16/2018,1,1
IDEM‐DataBreach,1/22/2018,10/9/2017,1,1
IDEM‐DataBreach,,9/4/2017,1,1
IDEM‐DataBreach,6/12/2018,4/24/2018,1,1
IllinoisAutoElectricCo‐DataBreach,10/12/2018,9/25/2018,46,177
ImpactAssetsInc‐DataBreach,11/2/2018,8/28/2018,11,1216
ImprivataInc‐DataBreach,11/26/2018,9/4/2018,2,103
IndependenceCommunityCollege‐DataBreach,11/23/2018,5/11/2018,20,4839
IndependentOfficeProductsandFurnitureDealersAssociation‐DataBreach,9/28/2018,6/5/2018,1,65
Indiana Department of Workforce Development,12/21/2018,7/31/2018,1,1
IndianaBureauofMotorVehicles‐DataBreach,12/20/2018,12/19/2018,1,1
IndianaBureauofMotorVehicles‐DataBreach,7/16/2018,7/13/2018,1,1
IndianaBureauofMotorVehicles‐DataBreach,11/8/2018,10/29/2018,1,1
IndianaBureauofMotorVehicles‐DataBreach,4/20/2018,,1,1
IndianaBureauofMotorVehicles‐DataBreach,3/20/2018,3/8/2018,1,1
IndianaBureauofMotorVehicles‐DataBreach,3/16/2018,3/8/2018,1,1
IndianaBureauofMotorVehicles‐DataBreach,7/16/2018,7/13/2018,1,1
IndianaBureauofMotorVehicles‐DataBreach,12/12/2018,12/12/2018,1,1
IndianaBureauofMotorVehicles‐DataBreach,4/4/2018,3/28/2018,1,1
IndianaBureauofMotorVehicles‐DataBreach,7/23/2018,7/10/2018,3,3
Respondent,Notification Sent Breach Occurred IN Affected Total Affected,,,
IndianaBureauofMotorVehicles‐DataBreach,9/4/2018,8/29/2018,1,1
IndianaDepartmentofAdministration‐DataBreach,12/10/2018,12/7/2018,02,
IndianaDepartmentofEnvironmentalManagement‐DataBreach,9/21/2018,10/5/2017,1,1
IndianaDepartmentofWorkforceDevelopment,3/6/2018,2/13/2018,22,23
IndianaDepartmentofWorkforceDevelopment,12/21/2018,11/12/2018,11,11
IndianaDepartmentofWorkforceDevelopment‐DataBreach,10/22/2018,,2259,2645
IndianaDepartmentofWorkforceDevelopment‐DataBreach,8/15/2018,7/27/2018,390,555
IndianaHorseRacingCommission,,,,
IndianapolisAirportAuthority‐DataBreach,11/29/2018,9/21/2018,332,341
IndianapolisNeighborhoodHousingPartnership‐DataBreach,7/24/2018,6/21/2018,5,5
IndianapolisNeighborhoodHousingPartnership‐DataBreach,10/12/2018,10/5/2018,1,1
IndianaPublicRetirementSystem‐DataBreach,8/17/2018,8/17/2018,1,1
IndianaStatePersonnelDepartment‐DataBreach,9/21/2018,9/18/2018,2,2
