BUSINESS NAME,START OF BREACH,END OF BREACH,DATE REPORTED,MONTANANS AFFECTED
STRATA Trust Company,2/01/2020,02/14/2020,06/19/2020,36
"CU Collections, LLC",2/01/2020,02/29/2020,06/18/2020,1
"Woods & Woods, LLC",2/01/2020,2/01/2020,3/10/2020,87
Affordacare Urgent Care Clinics,2/01/2020,2/01/2020,03/30/2020,15
"Informatics, Inc.",01/31/2020,4/08/2020,5/04/2020,1
Elk Ridge Dentistry,01/31/2020,01/31/2020,3/02/2020,3
University of Minnesota Physicians,01/30/2020,01/31/2020,11/25/2020,199
Mid-Delaware Imaging,01/30/2020,5/11/2020,07/14/2020,2
Mabrey Bank,01/30/2020,2/10/2020,05/27/2020,8
Orchard Medical Consulting,01/30/2020,01/30/2020,5/05/2020,2
Brody Wilkinson PC,01/29/2020,2/06/2020,09/22/2020,1
Otis R. Bowen Center for Human Services,01/28/2020,01/28/2020,3/02/2020,4
Cygnus Home Service,01/28/2020,01/28/2020,02/28/2020,53
RailWorks Corporation,01/27/2020,01/27/2020,02/27/2020,11
Southwest Airlines Pilots' Association,01/25/2020,01/25/2020,04/17/2020,2
Sekure Merchant solutions,01/24/2020,01/27/2020,9/03/2020,132
Thomas Cuisine,01/24/2020,02/18/2020,7/10/2020,71
"Codal, Inc.",01/24/2020,04/17/2020,06/30/2020,2
ADP,01/24/2020,2/11/2020,02/19/2020,2
"Renew Wellness Center, PLLC",01/23/2020,01/23/2020,03/23/2020,726
Dent Wizard International,01/22/2020,2/04/2020,8/10/2020,8
Open Sky Wilderness Therapy,01/22/2020,01/29/2020,07/23/2020,13
Sceptre Hospitality Resources,01/22/2020,01/29/2020,05/22/2020,5
Ambry Genetics Corporation,01/22/2020,01/24/2020,04/17/2020,608
"Nature's Way Brands, LLC",01/20/2020,01/20/2020,03/27/2020,1
Stockdale Radiology,01/17/2020,01/17/2020,4/06/2020,1
"Tandem Diabetes Care, Inc.",01/17/2020,01/17/2020,03/17/2020,815
"Granicus, LLC",01/16/2020,01/16/2020,3/02/2020,1
"Orascom Constuction USA, Inc.",01/15/2020,2/08/2020,06/15/2020,5
Tablerock Holdings,01/14/2020,01/20/2020,9/11/2020,7
"OTR Leasing, LLC",01/14/2020,01/20/2020,07/28/2020,35
"Endeavor Energy Resources, L.P.",01/14/2020,01/14/2020,02/20/2020,3
"Ohnstad Twitchell, P.C.",01/13/2020,01/13/2020,6/10/2020,2
Lakeland Community College - Data Breach,01/13/2020,01/13/2020,04/13/2020,5
Westcor Land Title Insurance Company,1/12/2020,7/10/2020,08/25/2020,6
Providence St. Joseph Health,1/12/2020,05/16/2020,06/19/2020,1
Lancaster Archery Supply,1/10/2020,02/28/2020,02/21/2020,58
"Synergi Partners, Inc.",1/09/2020,5/04/2020,8/03/2020,1
Artech,1/05/2020,1/08/2020,9/04/2020,18
Overseas Service Corporation,1/04/2020,7/01/2020,3/10/2021,1
"Verigent, LLC",1/03/2020,6/04/2020,07/17/2020,3
HydroChem LLC,1/03/2020,1/03/2020,02/19/2020,2
Insurance Recovery Group,1/02/2020,01/17/2020,02/20/2020,4
Therapia Staffing,1/01/2020,02/14/2020,05/27/2020,1
Advocate Aurora Health,1/01/2020,1/01/2020,02/20/2020,26
Advocate Aurora Health,1/01/2020,1/01/2020,02/20/2020,26
"Plano Synergy Holdings, Inc.",12/28/2019,1/07/2020,4/01/2020,1
"Oostra Rouw & Associates, Inc.",12/26/2019,12/26/2019,01/31/2020,1
Bimba LLC,12/24/2019,3/11/2020,4/09/2020,5
The Electrical Training Institute,12/23/2019,12/26/2019,06/29/2020,2
"Gullett Holdings, Inc.",12/23/2019,12/23/2019,02/26/2020,2
"CNY Works, Inc.",12/21/2019,12/21/2019,06/25/2020,9
YMCA of Columbia-Willamette,12/19/2019,12/27/2019,03/27/2020,1
National Institute for Automotive Service Excellence,12/18/2019,2/03/2020,03/31/2020,34
M&T Bank,12/17/2019,04/30/2020,7/10/2020,2
American Medical Technologies,12/17/2019,12/17/2019,06/18/2020,28
DAK Americas,12/16/2019,03/16/2020,6/02/2020,6/5/20
Centerstone of Indiana,12/12/2019,12/16/2019,10/22/2020,1
"Nutramax Laboratories, Inc.",12/12/2019,01/13/2020,03/27/2020,1
Health Care Service Cooperation,12/12/2019,01/24/2020,3/06/2020,3
Wells Fargo,12/11/2019,05/26/2020,7/10/2020,2
Wells Fargo,12/11/2019,05/26/2020,7/10/2020,2
Prime Communications,12/11/2019,12/11/2019,05/18/2020,1
"Armstrong Oil & Gas, Inc.",12/11/2019,12/11/2019,5/01/2020,1
Anthem,12/11/2019,12/11/2019,02/21/2020,1
"Stripe GEP, Inc.",12/11/2019,12/11/2019,12/31/2019,4
Desoto Imaging Specialists,12/10/2019,09/16/2020,10/16/2020,1
"APISource, Inc.",12/09/2019,4/03/2020,5/04/2020,4
EMC National Life Company,12/08/2019,12/09/2019,3/04/2020,19
HUD Federal Credit Union,12/06/2019,05/20/2020,02/24/2020,1
Positec Tool Corporation,12/06/2019,12/10/2019,3/03/2020,5
Overlake Medical Center & Clinics,12/06/2019,12/09/2019,2/07/2020,109
"Massey Services, Inc.",12/06/2019,12/18/2019,01/24/2020,24
Waters & Kraus LLP,12/05/2019,05/15/2020,01/13/2021,36
Meadville Medial Center Area Hospital,12/05/2019,01/21/2020,3/06/2020,3
"Wahl Law Firm, PLLC",12/04/2019,12/04/2019,4/02/2020,470
"BST & Co. CPAs, LLP",12/04/2019,12/072019,02/14/2020,5
Atria Wealth Solutions,12/03/2019,12/03/2019,5/07/2020,6
Witchita State University,12/03/2019,12/05/2019,3/10/2020,355
Pioneer Railcorp,12/02/2019,12/02/2019,6/09/2020,1
Hajoca Corporation,12/02/2019,02/15/2020,03/18/2020,13
"Rooster Teeth Productions, LLC",12/02/2019,12/02/2019,12/17/2019,4
Des Moines Area Community College,12/01/2019,5/08/2020,11/30/2020,1
Wells Fargo Bank,12/01/2019,05/31/2020,7/10/2020,2
Freedom Financial Network,12/01/2019,12/31/2019,03/31/2020,3
Legalinc Corporate Service Inc.,12/01/2019,12/31/2019,01/15/2020,9
TripleTree Holdings LLC,12/01/2019,12/01/2019,12/18/2019,1
North 40 Outfitters,11/27/2019,6/12/2020,07/17/2020,96
American Outdoor Brands Corporation,11/27/2019,12/03/2019,1/09/2020,1
Paramount Bank,11/26/2019,02/24/2020,06/23/2020,28
T-Mobile USA - Data Breach,11/26/2019,12/25/2019,3/02/2020,1
T-Mobile USA,11/26/2019,12/25/2019,3/10/2020,1
"TrueDialog, Inc.",11/26/2019,11/28/2019,02/13/2020,1
Principal Financial Group,11/23/2019,1/06/2020,04/28/2020,86
"H. Beck, Inc.",11/20/2019,11/20/2019,12/03/2019,2
New York Legal Assistance Group (NYLAG),11/19/2019,2/07/2020,9/01/2020,1
"Dogeared, Inc.",11/19/2019,12/30/2020,05/28/2020,4
Sweaty Betty Limited,11/19/2019,11/27/2019,12/13/2019,8
"ShopRunner, Inc",11/18/2019,11/18/2019,12/12/2019,7
"McKissock Investment Holdings, LLC",11/16/2019,3/04/2020,5/01/2020,2
BBVA USA,11/15/2019,01/14/2020,2/12/2020,1
HelloTech,11/15/2019,11/15/2019,12/13/2019,6
glassybaby LLC,11/15/2019,11/18/2019,12/02/2019,4
St. Michael's College,11/13/2019,12/03/2019,6/04/2020,1
"Altice USA, Inc.",11/13/2019,11/13/2019,2/06/2020,1078
National Education Association (NEA),11/13/2019,11/15/2019,01/21/2020,6
SmokingPipes.com,11/13/2019,11/18/2013,12/16/2019,1
Nationwide Mutual Insurance Company,11/13/2019,11/13/2019,11/27/2019,1
"Community Solutions, Inc.",11/11/2019,12/05/2019,06/15/2020,1
Central Kansas Orthopedic Group,11/11/2019,11/11/2019,2/06/2020,2
"Jambav, Inc.",11/11/2019,11/11/2019,12/22/2019,4177
Evolucion Innovations Inc. (evo),11/08/2019,12/05/2019,12/31/2019,573
"AAA Northern California, Nevada & Utah (AAA NCNU)",11/07/2019,11/07/2019,12/20/2019,3
Doctors Community Medical Center,11/06/2019,01/30/2020,5/06/2020,
Viking Partners LLC,11/06/2019,11/06/2019,01/16/2020,1
Lifesprk LLC,11/05/2019,11/07/2019,03/17/2020,1
Idaho Central Credit Union,11/05/2019,11/05/2019,2/07/2020,15
Spectrum Healthcare Partners,11/05/2019,11/14/2019,01/13/2020,3
Ottawa Kent Insurance Agency,11/04/2019,11/04/2019,6/05/2020,2
"MediaRadar, Inc.",11/04/2019,11/04/2019,02/25/2020,1
Pacific Guardian Life Insurance Co. Ltd.,11/04/2019,11/04/2019,02/17/2020,12
"Swift Financial, LLC",11/04/2019,11/06/2019,1/10/2020,1
"RGT Wealth Advisors, LLC",11/02/2019,11/15/2019,12/21/2020,3
"Ferris Marketing, Inc. (Night Owl)",11/01/2019,6/05/2020,07/31/2020,48
PEF Services LLC,11/01/2019,12/31/2019,02/24/2020,1
The American Kennel Club,11/01/2019,05/13/2019,7/05/2019,2
"Enerco Group, Inc.",10/31/2019,12/26/2019,03/23/2020,27
Alomere Health,10/31/2019,11/01/2019,1/03/2020,15
"Car Wash Partners, Inc.",10/30/2019,01/14/2020,05/27/2020,3
Murdoch's Ranch & Home Supply,10/29/2019,10/29/2019,04/13/2020,45
Good Samaritan Hospital,10/28/2019,11/08/2019,7/01/2020,29
Allegheny Intermediate Unit,10/28/2019,21/27/2019,25/20/2020,14
FRB Federal Credit Union,10/27/2019,1/09/2020,04/24/2020,5
Children's Choice Pediatrics,10/27/2019,10/27/2019,12/16/2019,2
Comiskey & Company,10/26/2019,02/18/2020,8/03/2020,7
AFTRA Retirement Fund,10/24/2019,10/28/2019,02/25/2020,411
Tablet Inc.,10/24/2019,1/06/2020,02/24/2020,3
Zenith Global Logistics,10/24/2019,11/18/2019,12/19/2019,2
Cadence Aerospace,10/24/2019,10/24/2019,11/20/2019,2
Bainville School District,10/23/2019,10/23/2019,12/04/2019,120
Zerbee,10/22/2019,1/07/2020,03/20/2020,13
Braintrust Software LLC dba The Braintrust Consulting Group,10/21/2019,11/08/2019,01/15/2020,1
Michigan State University,10/19/2019,6/24/2020,08/13/2020,5
Nelnet,10/18/2019,10/18/2019,10/31/2019,1
"INTEGRIS Baptist Medical Center, Inc.",10/17/2019,10/17/2019,05/29/2020,3
Cargolux Airlines International,10/17/2019,10/19/2019,12/06/2019,5
"Ray Insurance Agency, Inc.",10/16/2019,11/04/2019,04/27/2020,3
"NS Leasing, LLC",10/16/2019,10/30/2019,4/06/2020,43
Nesnah Ventures,10/16/2019,10/22/2019,02/24/2020,1
"Yount, Hyde & Barbour, P.C.",10/15/2019,01/23/2020,05/27/2020,2
"Travel Tripper, LLC",10/15/2019,10/22/2019,01/24/2020,4
National Rural Health Resource Center,10/14/2019,11/12/2019,12/09/2019,2
Current Reviews for Nurse Anesthetists,10/13/2019,11/07/2019,12/05/2019,2
"The UPS Store, Inc.",10/11/2019,10/22/2019,11/27/2019,2
Tailored Brands,10/10/2019,01/28/2020,10/26/2020,11
The NOCO Company,10/08/2019,04/23/2021,05/18/2021,43
The Centers for Advanced Orthopaedics,10/08/2019,9/09/2020,03/25/2021,6
Ozark Orthopaedics,10/08/2019,10/08/2019,3/05/2020,1
Moss Adams LLP,10/08/2019,10/10/2019,12/19/2019,12
The Center for Neurological and Neurodevelopmental Health,10/07/2019,11/22/2019,01/21/2020,1
Macy's,10/07/2019,10/15/2019,11/14/2019,250
"Securities Service Network, LLC",10/04/2019,10/04/2019,02/19/2020,1
McPherson College,10/03/2019,11/30/2019,7/09/2020,7
TRP Sumner PLLC,10/02/2019,10/02/2019,03/17/2020,1
Metabolic Maintenance Products,10/01/2019,7/09/2021,09/16/2021,161
"Metabolic Maintenance Products, Inc.",10/01/2019,08/20/2020,12/22/2020,88
Assist Wireless,10/01/2019,08/31/2020,10/12/2020,1
"Total Quality Logistics, LLC",10/01/2019,10/31/2019,03/25/2020,25
AmeriSave Mortgage Corporation,10/01/2019,11/30/2019,1/03/2020,8
ACTIVE Network,10/01/2019,11/13/2019,12/30/2019,1
Baylor Genetics,10/01/2019,10/31/2019,12/24/2019,1
"TDC Virginia Benefits & Risk Management, Inc.",09/30/2019,09/30/2019,12/06/2019,1
"Continental Finance Company, LLC",09/30/2019,09/30/2019,10/07/2019,1
"The UPS Store, Inc.",09/29/2019,01/13/2020,01/20/2020,70
Hallier Benefit Advisors,09/29/2019,09/26/2019,01/15/2020,1
Blue Cross Blue Shield,09/28/2019,10/22/2019,12/12/2019,54
Sark Technologies LLC,09/28/2019,7/16/2019,8/01/2019,180
Blauer Manufacturing Company,09/26/2019,10/23/2019,11/22/2019,7
Baylor Genetics,09/24/2019,11/14/2019,09/14/2020,202
State of North Dakota,09/23/2019,12/23/2019,10/27/2020,73
"Frobenius, Conaway & Company, P.C.",09/23/2019,10/21/2019,02/20/2020,2
Elizabeth Family Health,09/23/2019,09/23/2019,11/22/2019,51
Mutual of Omaha Bank,09/23/2019,10/22/2019,10/22/2019,1
Endicott College,09/21/2019,09/23/2019,10/24/2019,1
Entercom Communications Corp.,09/18/2019,07/24/2020,07/24/2020,3
C. C. Filson Co.,09/18/2019,09/18/2019,11/18/2019,4
Legg Mason Global Asset Management,09/18/2019,09/30/2019,11/18/2019,1
"Concorde Asset Management, LLC",09/17/2019,11/04/2019,06/17/2020,27
Steele County,09/17/2019,10/10/2019,02/21/2020,6
A&S Construction Co.,09/16/2019,09/16/2019,01/29/2020,1
Hanna Andersson LLC,09/16/2019,11/11/2019,01/15/2020,559
Auto Approve,09/15/2019,10/06/2019,10/28/2019,173
"Aptevo Therapeutics, Inc.",09/13/2019,09/13/2019,10/16/2019,1
National Holdings Corporation,9/11/2019,09/18/2019,12/10/2019,11
Sunrise Community Health,9/11/2019,11/22/2019,12/05/2019,1
Nutraceutical Wellness Inc.,9/11/2019,9/11/2019,10/11/2019,53
Walmart,9/10/2019,9/10/2019,10/17/2019,1
State Bar of Michigan,9/09/2019,9/09/2019,9/09/2019,1
"Volusion, LLC",9/07/2019,10/08/2019,04/20/2020,1944
"SharesPost, Inc.",9/06/2019,09/18/2019,12/20/2019,20
"PKF, LLP",9/05/2019,9/05/2019,10/15/2019,1
Bluegreen Vacations,9/05/2019,9/05/2019,10/01/2019,1
Alliant Insurance Services,9/04/2019,10/02/2019,10/02/2020,5
"Sunshine Behavioral Health Group, LLC",9/04/2019,11/14/2019,01/21/2020,21
Cook Wealth Management,9/04/2019,09/19/2019,12/20/2019,3
LifeMark Securities Corp.,9/04/2019,9/04/2019,11/19/2019,15
InterMed,9/04/2019,9/06/2019,11/05/2019,5
Toyota Financial Services,9/04/2019,9/04/2019,10/03/2019,5
"Lincoln County, South Dakota",9/03/2019,9/03/2019,03/19/2020,1
"Pleasant Wealth, LLC.",9/03/2019,9/03/2019,12/23/2019,3
Pen Factory,9/01/2019,04/15/2020,6/05/2020,50
"U.S. Xpress Enterprises, Inc.",9/01/2019,10/18/2019,4/10/2020,6
"J.D. England Management, Inc.",08/31/2019,9/01/2019,01/17/2020,160
Aurora Water Department,08/30/2019,10/14/2019,12/30/2019,1
Mannheim School District 83,08/29/2019,08/29/2019,09/19/2019,1
"Le Duff America, Inc.",08/28/2019,09/21/2019,06/18/2020,Unknown
American Express,08/28/2019,9/11/2019,09/30/2019,2
Department of Commerce Federal Credit Union,08/27/2019,08/27/2019,3/06/2020,2
Capital One,08/27/2019,12/01/2019,2/06/2020,2
"City of Port Orange, Florida",08/27/2019,10/26/2019,1/10/2020,1
"Century 21 Department Stores, LLC",08/27/2019,10/10/2019,11/21/2019,3
Mille Lacs Health Systems,08/26/2019,1/07/2020,5/11/2020,
"Sioux City, Iowa",08/26/2019,09/18/2019,01/17/2020,Unknown
The Stow Company,08/25/2019,10/03/2019,01/29/2020,1
"Paragon Marketing Group, LLC",08/24/2019,08/24/2019,10/03/2019,1
Silicon Valley Community Foundation,08/23/2019,08/23/2019,04/20/2020,1
Hilltop Health Services,08/23/2019,08/23/2019,12/13/2019,1
"NYR Organic, Inc.",08/21/2019,9/04/2019,3/05/2020,196
State Bank of Lizton,08/21/2019,08/21/2019,11/22/2019,1
Camrosa Water District,08/20/2019,08/13/2020,11/06/2020,4
Outreach Health Services,08/19/2019,10/13/2019,3/12/2020,2
Paul Quinn College,08/16/2019,08/16/2019,6/01/2020,3
Tennessee Orthopaedic Alliance,08/16/2019,10/14/2019,02/14/2020,4
Barnhill Contracting Company,08/16/2019,08/21/2019,2/03/2020,2
"Vimly Benefit Solutions, LLC.",08/16/2019,08/19/2019,12/19/2019,4
The Wolff Company,08/15/2019,10/31/2019,4/10/2020,4
"Relation Insurance, Inc.",08/14/2019,08/15/2019,2/10/2020,2
"GFS, Inc.",08/13/2019,08/22/2019,11/13/2019,3
Indiana Trust and Investment Management Company,8/12/2019,08/16/2019,11/27/2019,4
"Hartman, Blitch & Gartside, CPA",8/11/2019,8/11/2019,12/04/2019,1
Wood Ranch Medical,8/10/2019,8/10/2019,09/18/2019,10
"Environmental Data Resources, LLC",8/08/2019,11/21/2019,5/04/2020,10
North Park University,8/08/2019,9/05/2019,12/30/2019,3
"U.S. Xpress Enterprises, Inc.",8/08/2019,8/08/2019,11/15/2019,2
New Horizons Credit Union,8/07/2019,8/07/2019,06/15/2020,6
Bristol Bay Native Corporation,8/07/2019,08/24/2019,03/26/2020,6
The City-County of Butte-Silver Bow,8/07/2019,8/09/2019,08/30/2019,526
TrueFire LLC,8/03/2019,01/14/2020,3/09/2020,21
Delta Dental of Illinois,8/03/2019,08/19/2019,10/28/2019,1
"Life Line Screening of America, Ltd.",8/01/2019,0831/2019,12/30/2019,39
Nespresso,8/01/2019,11/05/2019,11/25/2019,4
Lakeside Orthopedic Clinic,8/01/2019,8/01/2019,09/27/2019,6
Wisconsin Diagnostic Laboratories,8/01/2019,03/30/2019,8/02/2019,8
CompuNet Clinical Laboratories,8/01/2019,03/30/2019,07/26/2019,8
Salem Health,07/31/2019,07/31/2019,09/17/2019,1
UnitedHealthcare,07/30/2019,11/13/2019,2/03/2020,1
"Youth For Christ USA, Inc.",07/30/2019,07/30/2019,10/21/2019,2
Wall Street Greetings,07/30/2019,08/21/2019,9/06/2019,
"Woodman & Eaton, P.C.",07/29/2019,07/31/2019,12/12/2019,2
L&M Supply,07/29/2019,08/20/2019,10/23/2019,2
Vitalant,07/28/2019,08/22/2019,9/12/2019,2
Ply Gem Residential Solutions,07/26/2019,11/18/2019,07/24/2020,11
UnitedHealthcare,07/26/2019,07/26/2019,10/16/2019,1
"Liberty Lift Solutions, LLC",07/26/2019,07/26/2019,08/27/2019,1
Central Valley Regional Center,07/25/2019,8/02/2019,10/18/2019,1
"Majoris Health Systems, Inc.",07/24/2019,08/23/2019,09/20/2019,11
"Cornerstone Benefits, Inc.",07/23/2019,07/23/2019,10/21/2019,1
Arizona Game and Fish Department (AZGFD),07/22/2019,07/22/2019,08/30/2019,2
JDC Healthcare Management,07/21/2019,08/26/2019,2/07/2020,2
"Wake County, North Carolina",07/19/2019,12/31/2019,02/14/2020,1
Interactive Medical Systems,07/19/2019,12/31/2019,02/13/2020,2
Truman Medical Center,07/19/2019,10/29/2019,12/13/2019,8
"Olsson, Inc.",07/19/2019,8/06/2019,8/06/2019,5
"Universal Insurance Programs, LLC.",07/17/2019,8/01/2019,05/22/2020,2
TigerChef,07/17/2019,9/10/2019,4/10/2020,1
"Corporate Creations International, Inc.",07/17/2019,07/24/2019,08/28/2019,"1,147"
"Vivo Capital, LLC",07/16/2019,8/06/2019,1/03/2020,1
Edinboro University Student Government Association (EUSGA),07/16/2019,07/16/2019,08/15/2019,2
"Filters Fast, LLC",07/15/2019,7/10/2020,08/14/2020,"1,079"
"PrimoHoagies Franchising, Inc. - Data Breach",07/15/2019,02/18/2020,04/16/2020,9
"Kearns, Brinen & Monaghan",07/15/2019,08/19/2019,10/01/2019,1
Greenworks Tools,07/14/2019,07/14/2019,06/30/2020,53
"Choctaw Global, LLC",07/13/2019,07/31/2019,3/10/2020,2
"PW Companies, LLC",7/11/2019,7/11/2019,08/29/2019,1
First Federal Bank & Trust,7/10/2019,7/10/2019,03/13/2020,706
"Hamlin & Burton Liability Management, Inc.",7/10/2019,7/10/2019,10/21/2019,3
"Avalon Health Care Management, Inc.",7/09/2019,7/09/2019,03/16/2020,14
Aveanna Healthcare,7/09/2019,08/24/2019,02/14/2020,15
Disability Insurance Specialists LLC,7/09/2019,7/09/2019,12/02/2019,4
Green Roads of Florida,7/09/2019,10/09/2019,11/14/2019,109
Great Lakes Wholesale Group,7/08/2019,09/22/2019,05/20/2020,2
Delta Dental of Arizona,7/08/2019,7/08/2019,11/08/2019,40
"Amerman, Ginder & Co.",7/08/2019,07/23/2019,10/30/2019,3
MGM Resorts International,7/07/2019,07/24/2019,9/05/2019,19
Shore Specialty Consultants Pulmonology Group,07/0720/19,7/08/2019,9/06/2019,1
Art.com,7/05/2019,08/26/2019,10/11/2019,7
"SaveDay, Inc.",7/05/2019,7/05/2019,8/02/2019,1
Yale New Haven Health,7/03/2019,07/17/2019,11/08/2019,1
Benchmark Education Company,7/02/2019,07/30/2019,03/13/2020,1
"UC Health, LLC",7/02/2019,07/15/2019,01/29/2020,4
Elam Consulting,7/01/2019,50/29/2020,06/29/2020,2
United Regional Health Care System,7/01/2019,12/20/2019,02/14/2020,1
Advanced Care Hospital of Montana,7/01/2019,07/31/2019,01/24/2020,17
Humana,7/01/2019,7/03/2019,08/23/2019,1
Humana,7/01/2019,7/01/2019,08/23/2019,1
"Pelican Products, LLC",06/28/2019,07/16/2019,08/16/2019,8
Beneficial State Bank,06/25/2019,06/25/2019,11/06/2019,2
The Baptist Foundation of Oklahoma,06/25/2019,06/25/2019,08/16/2019,3
Sweetser - Data Breach,06/24/2019,06/24/2019,10/25/2019,1
Sprint,06/22/2019,06/25/2019,7/11/2019,1
University of New England (UNE),06/20/2019,06/20/2019,07/19/2019,1
Pathway Bank,06/19/2019,06/19/2019,11/05/2019,1
Virginia Gay Hospital,06/18/2019,06/18/2019,08/16/2019,1
Tom Sauer Bond Agency LLC (TSBA),06/18/2019,8/01/2019,9/11/2019,189
Applied Ecological Services,06/17/2019,06/18/2019,6/12/2019,497
Loudoun Medical Group d/b/a Comprehensive Sleep Care Center,06/15/2019,06/19/2019,11/27/2019,2
"NCH Healthcare System, Inc.",06/14/2019,06/14/2019,02/14/2020,3
Millennium Healthcare Group,06/14/2019,06/17/2019,12/16/2019,8
Riggs Wealth Management,06/14/2019,06/17/2019,8/01/2019,4
Scrapbook.com,06/14/2019,06/18/2019,07/23/2019,6
South Pacific Financial Corporation,06/13/2019,06/21/2019,10/11/2019,3
Colibri Group,6/12/2019,06/13/2019,08/23/2019,1
Louis Brisbois Bisgaard & Smith LLP,6/11/2019,06/19/2019,1/10/2020,14
Artesia General Hospital,6/11/2019,06/18/2019,08/27/2019,5
University of Nebraska Lincoln,6/10/2019,6/10/2019,7/10/2019,1
Dickey’s Barbecue Pit,6/09/2019,11/24/2020,12/29/2020,Unknown
Drexel Medicine,6/08/2019,6/10/2019,11/22/2019,1
"City of Longmont, Colorado",6/06/2019,6/06/2019,6/09/2019,1
"Sheltered Wings, Inc.",6/04/2019,06/28/2019,10/17/2019,1
Expresso Parts,6/04/2019,06/21/2019,08/20/2019,7
Princeton Insurance Agency,6/03/2019,6/05/2019,10/15/2019,3
"Backcountry Edge, Inc",6/03/2019,6/03/2019,06/27/2019,91
"Hoboken Radiology, LLC",6/02/2019,12/01/2020,9/07/2021,2
"AliMed, Inc.",6/01/2019,06/17/2020,08/28/2020,121
Pacific Press Publishing Association,6/01/2019,10/31/2019,6/09/2020,34
"The Roasterie, Inc.",6/01/2019,11/30/2019,02/20/2020,2
The McKeogh Company,6/01/2019,06/26/2019,10/09/2019,2
"Impact Partnership, LLC",6/01/2019,06/19/2019,07/30/2019,1
Zions Bancorporation,6/01/2019,6/01/2019,07/23/2019,36
Gettysburg Flag Works,6/01/2019,06/24/2019,7/05/2019,3
Golden Entertainment Inc.,05/30/2019,07/31/2019,11/07/2019,144
Implant Direct,05/30/2019,6/04/2019,7/05/2019,1
