Name.of.Company,Date.of.the.Breach,Date.of.Notification,ME.Affected
"Kroll Background America, Inc. (Background checks for Marsh& McLennan Companies",2013-06-01,2013-11-26,47
Naito Corporation,2013-10-01,2013-11-26,6
"Kroll Background America, Inc.",2013-06-01,2013-11-20,2
101INK.COM,2013-10-01,2013-11-15,32
AMAZING CLUBS,2013-10-01,2013-11-15,21
BLADE TECH #2,2013-10-01,2013-11-15,1
CHATEAU ELAN RESORT,2013-10-01,2013-11-15,2
PGA NATIONAL RESORT & SPA,2013-10-01,2013-11-15,1
RUDEE TOURS,2013-10-01,2013-11-15,1
UNIQUE VINTAGE,2013-10-01,2013-11-15,7
AHW LLC,2012-09-01,2013-11-11,NA
Maine Historical Society,2009-10-01,2013-11-04,NA
"Harbor Freight Tools USA, Inc.",2013-05-06,2013-10-31,12
Western Union,2013-09-03,2013-10-29,11
"Greene Consulting Associates, LLC",2013-09-29,2013-10-29,1
Dun & Bradstreet,2013-03-01,2013-10-25,NA
Ouidad,2013-06-30,2013-10-18,NA
NBC Sports Group,2012-08-24,2013-10-14,1
Datapak Services Corporation,2013-03-05,2013-10-02,313
The New Teacher Project,2013-07-27,2013-09-18,1
Bel USA LLC,2013-03-01,2013-09-13,346
Blackhawk Consulting Group (Provides billing services for Advocate Medical Group and Dreyer Medical Clinic,2013-06-30,2013-09-13,1
"ODN, ",2012-12-01,2013-09-06,800
"Midwest Supplies, LLC",2013-06-03,2013-08-27,131
Elightbulbs,2013-06-01,2013-07-18,1
Go-Part.com,2013-06-01,2013-07-18,4
Paradise Cove Beach Café,2013-06-01,2013-07-18,1
Schnucks #117,2013-06-01,2013-07-18,1
Schnucks #177,2013-06-01,2013-07-18,1
Schnucks #188,2013-06-01,2013-07-18,1
Schnucks #717,2013-06-01,2013-07-18,1
"Quayside Publishing Group (Qbookshop.com, Qbookshop.net, Motorbooks.com and WalterFoster.com)           .",2013-04-29,2013-06-21,NA
Zehnders of Frankenmuth,2013-05-01,2013-06-18,5
Mapco,2013-05-01,2013-06-18,5
Stag Arms LLC,2013-05-01,2013-06-18,8
Willie TS,2013-05-01,2013-06-18,6
Polaris,2013-05-08,2013-06-07,NA
"VYC Tires, Inc., d/b/a bestusedtires.com",2013-03-23,2013-06-05,12
3balls.com,2012-09-19,2013-05-31,34
"Rosewood Hotels and Resorts, LLC, Management Co. for Aansazi Hotel, LLC",2013-06-18,2013-05-30,2
AHW LLC,2012-09-02,2013-05-22,10
"Vendini, Inc.",2013-03-29,2013-05-20,22900
Knology,2013-02-01,2013-05-17,1
"ThyssenKrupp OnlineMetals, LLC",2013-02-05,2013-05-02,11
"WorldVentures Marketing, LLC",2012-10-23,2013-04-30,39
Iron Horse Bicycle Classic,2012-11-30,2013-04-25,1
Dead River Co.,2013-03-06,2013-03-22,965
TLO ,2012-08-01,2013-03-22,67
Frontier Natural Products Co-op,2012-09-14,2013-03-06,89
Tim Hortons (one of their service providers--Computershare Trust Company of Canada),2012-12-01,2013-02-22,1
TD Bank,2013-01-10,2013-02-18,267
The Hershey Company,2012-12-22,2013-02-12,24
Crafts Americana Group,2012-12-21,2013-02-08,140
"Thorlo, Inc.",2012-11-14,2013-02-07,84
The Howland-Hughes Company,2012-04-09,2013-02-01,2
HSBC Bank USA N.A.,2012-08-13,2013-01-31,10
Stethescope.com LLC,2012-11-27,2013-01-29,122
"Wilton Brands, LLC ",2012-10-08,2013-01-24,104
"Centric Group, LLC",2010-08-01,2013-01-09,NA
Aecom Technology Corp,2014-05-15,2014-07-10,69
"Oak Hill Citgo Gas and Convenience, 230 US Rte 1, P.O. Box 606, Scarborough, ME  04074",2015-12-12,2016-01-14,NA
"Stanford University, Office of Audit, Compliance and Privacy, Room 10, Encina Hall, 616 Serra Street, Stanford, CA 94305-6212",2016-01-31,2016-06-16,1
"Accuform Manufacturing, Inc. and Safety Marketing Services, LLC",2015-06-30,2015-10-20,NA
"ID Parts, LLC",2014-01-01,2014-12-18,106
Duluth Pack,2014-09-27,2014-10-24,1
"Townsend Enterprises, Inc., d/b/a The Sinclair Institute",2014-08-03,2014-10-23,1
"Sourcebooks, Inc., ",2014-04-16,2014-10-17,22
"Asset Marketing Services, LLC",2014-09-18,2014-10-14,8
"Omega Net, Inc.",2014-05-28,2014-07-29,6
Backcountry Gear ,2014-04-27,2014-07-28,32
Montana Dept. of Public Health & Human Services; www.dphhs.mt.gov ,2013-07-01,2014-06-23,2
Walgreen Company,2017-12-20,2018-06-01,NA
"American Tire Distributors Holdings Inc., (paper)",2017-03-03,2017-03-17,24
www.padlocks4less.com,2015-06-03,2015-09-22,2
"One Love Organics, Inc.",2014-08-24,2014-11-03,2
"NRT LLC, 175 Park Avenue, Madison, NJ 07940",2015-10-01,2016-03-21,3
"FireKeepers Casino Hotel; Battle Creek, Michigan",2014-09-07,2015-07-02,1
"TuneCore, 63 Pearl Street, Box #256, Brooklyn, NY 11201",2015-11-01,2015-12-09,27
Utah Food Bank,2013-10-08,2015-08-25,1
"Bed Bath & Beyond and/or its subsidiary, Buy Buy Baby, Inc",2014-11-03,2015-02-26,NA
"Valplast Supply Services, Inc., 200 Shames Drive, Westbury, NY 11590",2014-10-29,2014-12-18,9
Highlands-Cashiers Hospital,2012-05-01,2014-11-26,4
"Calypso St. Barth, Inc., 33-02 Skillman Avenue, Floor 5, Long Island City, NY 11101",2014-10-09,2014-11-26,5
"Delaware River & Bay Authority, PO Box 71, New Castle, Delaware 19720",2013-09-20,2014-10-17,NA
Jimmy John's Franchises LLC,2014-06-15,2014-09-24,NA
"Source Media, Inc.",2014-05-01,2014-07-29,2
Outdoor Network LLC,2014-03-01,2014-04-17,22
The Clevelander Restaurant,2014-03-01,2014-04-17,2
"Zevin Asset Management, LLC.",2013-09-15,2014-02-13,3
JPMorgan Chase & Co.,2013-07-15,2013-12-05,1292
Branch Banking & Trust Co.,2013-10-31,2013-11-22,1
"PayJunction, Inc.",2013-09-30,2013-09-01,3
"Suffolk University, via its vendor Vendini, Inc.",2013-03-31,2013-07-02,71
"80sTees.com, Inc.",2012-06-01,2013-04-03,12
RR Donnelley and its customer United Healthcare,2012-09-15,2013-01-18,52
Heartland Brewery,2014-03-01,2014-04-17,1
Guys American Kitchen and Bar,2014-03-01,2014-04-17,4
"Maine School Management Association, 49 Community Drive, Augusta, Maine 04330",2015-04-30,2015-06-22,NA
"Clinton Health Access Initiative (""CHAI"")",2016-03-31,2016-04-05,1
